Year,League,Team,W,L,ERA,G,CG,SHO,SV,SVO,IP,HA,R,ER,HR,HBP,BB,SO
2002,NL,Arizona,98,64,3.92,,14,10,40,59.0,1446.2,1361,674,630,170,54,421,1303
2002,NL,Atlanta,101,59,3.13,,3,15,57,71.0,1467.1,1302,565,511,123,42,554,1058
2002,NL,Chicago,67,95,4.29,,11,9,23,48.0,1441.1,1373,759,687,167,58,606,1333
2002,NL,Cincinnati,78,84,4.27,,2,8,42,57.0,1453.2,1502,774,690,173,56,550,980
2002,NL,Colorado,73,89,5.2,,1,8,43,59.0,1426.2,1554,898,825,225,64,582,920
2002,NL,Florida,79,83,4.36,,11,12,36,55.0,1456.1,1449,763,706,151,58,631,1104
2002,NL,Houston,84,78,4.0,,2,11,43,58.0,1445.0,1423,695,643,151,55,546,1219
2002,NL,Los Angeles,92,70,3.69,,4,15,56,71.0,1457.2,1311,643,598,165,46,555,1132
2002,NL,Milwaukee,56,106,4.73,,7,4,32,42.0,1432.1,1468,821,752,199,62,666,1026
2002,NL,Montreal,83,79,3.97,,9,3,39,59.0,1453.0,1475,718,641,165,46,508,1088
2002,NL,New York,75,86,3.89,,9,10,36,51.0,1442.2,1408,703,624,163,55,543,1107
2002,NL,Philadelphia,80,81,4.17,,5,9,47,71.0,1449.2,1381,724,671,153,70,570,1075
2002,NL,Pittsburgh,72,89,4.23,,2,7,47,66.0,1412.2,1447,730,664,163,55,572,920
2002,NL,San Diego,66,96,4.62,,5,10,40,62.0,1436.1,1522,815,737,177,66,582,1108
2002,NL,San Francisco,95,66,3.54,,10,13,43,60.0,1437.1,1349,616,566,116,36,523,992
2002,NL,St. Louis,97,65,3.7,,4,9,42,63.0,1446.1,1355,648,595,141,60,547,1009
2003,NL,Arizona,84,78,3.84,162.0,7,11,42,,1455.0,1379,685,621,150,72,526,1291
2003,NL,Atlanta,101,61,4.1,162.0,4,7,51,,1456.1,1425,740,663,147,42,555,992
2003,NL,Chicago,88,74,3.83,162.0,13,14,36,,1456.1,1304,683,619,143,71,617,1404
2003,NL,Cincinnati,69,93,5.09,162.0,4,5,38,,1446.1,1578,886,818,209,48,590,932
2003,NL,Colorado,74,88,5.2,162.0,3,4,34,,1420.0,1629,892,821,200,84,552,866
2003,NL,Florida,91,71,4.04,162.0,7,11,36,,1445.1,1415,692,648,128,40,530,1132
2003,NL,Houston,87,75,3.86,162.0,1,5,50,,1450.0,1350,677,622,161,74,565,1139
2003,NL,Los Angeles,85,77,3.16,162.0,3,17,58,,1457.2,1254,556,511,127,40,526,1289
2003,NL,Milwaukee,68,94,5.02,162.0,5,3,44,,1452.0,1590,873,810,219,61,575,1034
2003,NL,Montreal,83,79,4.01,162.0,15,10,42,,1437.2,1467,716,640,181,71,463,1028
2003,NL,New York,66,95,4.48,161.0,3,10,38,,1413.1,1497,754,704,168,45,576,907
2003,NL,Philadelphia,86,76,4.04,162.0,9,13,33,,1443.2,1386,697,648,142,77,536,1060
2003,NL,Pittsburgh,75,87,4.64,162.0,7,10,44,,1444.1,1527,801,744,178,61,502,926
2003,NL,San Diego,64,98,4.87,162.0,2,10,31,,1431.1,1458,831,774,208,62,611,1091
2003,NL,San Francisco,100,61,3.73,161.0,7,10,43,,1437.1,1349,638,595,136,43,546,1006
2003,NL,St. Louis,85,77,4.6,162.0,9,10,41,,1463.2,1544,796,748,210,65,508,969
