Year,League,Team,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS,OBP,SLG,AVG
2002,NL,Arizona,162,5508,819,1471,283,41,165,783,2331,643,1016,92,46,.346,.423,.267
2002,NL,Atlanta,161,5495,708,1428,280,25,164,669,2250,558,1028,76,39,.331,.409,.260
2002,NL,Chicago,162,5496,706,1351,259,29,200,676,2268,585,1269,63,21,.321,.413,.246
2002,NL,Cincinnati,162,5470,709,1386,297,21,169,678,2232,583,1188,116,52,.330,.408,.253
2002,NL,Colorado,162,5512,778,1508,283,41,152,726,2329,497,1043,103,53,.337,.423,.274
2002,NL,Florida,162,5496,699,1433,280,32,146,653,2215,595,1130,177,73,.337,.403,.261
2002,NL,Houston,162,5503,749,1441,291,32,167,719,2297,589,1120,71,27,.338,.417,.262
2002,NL,Los Angeles,162,5554,713,1464,286,29,155,693,2273,428,940,96,37,.320,.409,.264
2002,NL,Milwaukee,162,5415,627,1369,269,29,139,597,2113,500,1125,94,50,.320,.390,.253
2002,NL,Montreal,162,5479,735,1432,300,36,162,695,2290,575,1104,118,64,.334,.418,.261
2002,NL,New York,161,5496,690,1409,238,22,160,650,2171,486,1044,87,42,.322,.395,.256
2002,NL,Philadelphia,161,5523,710,1428,325,41,165,676,2330,640,1095,104,43,.339,.422,.259
2002,NL,Pittsburgh,161,5330,641,1300,263,20,142,610,2029,537,1109,86,49,.319,.381,.244
2002,NL,San Diego,162,5515,662,1393,243,29,136,627,2102,547,1062,71,44,.321,.381,.253
2002,NL,San Francisco,162,5497,783,1465,300,35,198,751,2429,616,961,74,21,.344,.442,.267
2002,NL,St. Louis,162,5505,787,1475,285,26,175,758,2337,542,927,86,42,.338,.425,.268
2003,NL,Arizona,162,5570,717,1467,303,47,152,696,2320,531,1006,76,38,.330,.417,.263
2003,NL,Atlanta,162,5670,907,1608,321,31,235,872,2696,545,933,68,22,.349,.475,.284
2003,NL,Chicago,162,5519,724,1431,302,24,172,691,2297,492,1158,73,31,.323,.416,.259
2003,NL,Cincinnati,162,5509,694,1349,239,21,182,669,2176,524,1326,80,34,.318,.395,.245
2003,NL,Colorado,162,5518,853,1472,330,31,198,814,2458,619,1134,63,37,.344,.445,.267
2003,NL,Florida,162,5490,751,1459,292,44,157,709,2310,515,978,150,74,.333,.421,.266
2003,NL,Houston,162,5583,805,1466,308,30,191,763,2407,557,1021,66,30,.336,.431,.263
2003,NL,Los Angeles,162,5458,574,1328,260,25,124,544,2010,407,985,80,36,.303,.368,.243
2003,NL,Milwaukee,162,5548,714,1423,266,24,196,685,2325,547,1221,99,39,.329,.419,.256
2003,NL,Montreal,162,5437,711,1404,294,25,144,682,2180,522,990,100,39,.326,.401,.258
2003,NL,New York,161,5341,642,1317,262,24,124,607,1999,489,1035,70,31,.314,.374,.247
2003,NL,Philadelphia,162,5543,791,1448,325,27,166,757,2325,651,1155,72,29,.343,.419,.261
2003,NL,Pittsburgh,162,5581,753,1492,275,45,163,711,2346,529,1049,86,37,.338,.420,.267
2003,NL,San Diego,162,5531,678,1442,257,32,128,641,2147,565,1073,76,39,.333,.388,.261
2003,NL,San Francisco,161,5456,755,1440,281,29,180,713,2319,593,980,53,37,.338,.425,.264
2003,NL,St. Louis,162,5672,876,1580,342,32,196,827,2574,580,952,82,32,.350,.454,.279
